,group1,group2,Diff,Lower,Upper,q-value,p-value,df_num,dv_num,iv,ds_name,dv_name
0,1.0,0.0,0.7652464051375114,0.44951501392716153,1.0809777963478613,6.725907491173273,0.001,1,1,male_n,df,wt_kg
1,27.0,62.0,1.3042916666666668,-0.8267059038060469,3.4352892371393806,3.5469839468124604,0.9,1,1,breed_n,df,wt_kg
2,27.0,53.0,0.07429999999999914,-1.8869806334456551,2.0355806334456537,0.2195414517971454,0.9,1,1,breed_n,df,wt_kg
3,27.0,35.0,2.099081081081081,0.08119249482180502,4.116969667340356,6.028364289339532,0.027152100146132674,1,1,breed_n,df,wt_kg
4,27.0,61.0,2.365401960784313,0.48929306648865345,4.241510855079972,7.306583774296743,0.001,1,1,breed_n,df,wt_kg
5,27.0,16.0,2.421958333333333,0.2909607628606192,4.552955903806047,6.586446534720884,0.005301136501599357,1,1,breed_n,df,wt_kg
6,27.0,40.0,0.18100000000000094,-2.9200569662330396,3.2820569662330414,0.33824881873036183,0.9,1,1,breed_n,df,wt_kg
7,27.0,58.0,1.801157894736841,-0.4107717816890477,4.01308757116273,4.718977738663462,0.43754331836184046,1,1,breed_n,df,wt_kg
8,27.0,38.0,0.30082352941176627,-1.6167055638692662,2.218352622692799,0.9091536745992336,0.9,1,1,breed_n,df,wt_kg
9,27.0,22.0,1.0794999999999995,-3.3060568193383304,5.465056819338329,1.426478934320755,0.9,1,1,breed_n,df,wt_kg
10,27.0,11.0,2.337999999999999,-2.619382251416307,7.295382251416306,2.733125393706153,0.9,1,1,breed_n,df,wt_kg
11,27.0,39.0,1.0979999999999999,-2.9054473286203537,5.101447328620353,1.5894090407901473,0.9,1,1,breed_n,df,wt_kg
12,27.0,47.0,2.7177746478873255,0.6908358356849407,4.74471346008971,7.770344296206763,0.001,1,1,breed_n,df,wt_kg
13,27.0,5.0,4.558666666666667,0.8316600333706585,8.285673299962676,7.088349611640355,0.0010227003004966706,1,1,breed_n,df,wt_kg
14,27.0,21.0,4.642000000000001,-3.5626255340970463,12.846625534097049,3.2787917210709208,0.9,1,1,breed_n,df,wt_kg
15,27.0,20.0,0.06961290322580549,-2.2268178703526464,2.3660436768042574,0.17567252615338413,0.9,1,1,breed_n,df,wt_kg
16,27.0,33.0,3.442,-2.4960720043362876,9.380072004336288,3.359176817628791,0.9,1,1,breed_n,df,wt_kg
17,27.0,46.0,0.6620000000000008,-3.3414473286203528,4.665447328620354,0.9582775819700172,0.9,1,1,breed_n,df,wt_kg
18,27.0,19.0,4.07057142857143,0.5543033425298383,7.586839514613022,6.708738424543647,0.0035962704539529433,1,1,breed_n,df,wt_kg
19,27.0,10.0,3.8819999999999997,-4.322625534097048,12.086625534097047,2.7419796340364737,0.9,1,1,breed_n,df,wt_kg
20,27.0,55.0,1.4435384615384619,-1.4090190601096673,4.296095983186591,2.9326579154878067,0.9,1,1,breed_n,df,wt_kg
21,27.0,28.0,3.6420000000000012,-4.562625534097046,11.846625534097049,2.5724600276045444,0.9,1,1,breed_n,df,wt_kg
